"ID","Type","Name","Documentation"
"6a18db2b","ArchimateModel","PayNow",""
"1b2201ac","BusinessActor","IT Steering Group (ISG)  ","The IT Steering Group (ISG) sets the direction and strategy for IT Services. It includes members of senior management from business and IT. The IT Steering Group reviews the business and IT strategies in order to make sure that they are aligned. It also sets priorities of service development programs/ projects.
"
"6db30003","BusinessActor","Requester",""
"7430b38a","BusinessActor","Service Consumer","Party 1 in Contract
"
"2411066d","BusinessActor","Service Owner",""
"4685baaa","BusinessActor","Service Portfolio Manager","The Service Portfolio Manager decides on a strategy to serve customers in cooperation with the IT Steering Group, and develops the service provider's offerings and capabilities.
"
"75d26025","BusinessActor","Service Provider","Party 2 in Contract
"
"7e1dcbf0","BusinessEvent","Open new Incident",""
"cb7c283c","BusinessFunction","Budget Allocation  ","A budget allocated by the Financial Manager to implement a Change. Budget Allocations are issued in response to Budget Requests originating from any Service Management process in conjunction with Requests for Change.
"
"486578b3","BusinessFunction","Clearing",""
"1dca85ea","BusinessInterface","Service Desk",""
"597461b6","BusinessObject","Budget Request  ","A request for a budget, typically issued from any of the Service Management processes at the same time when compiling a Request for Change. An approved Budget Request means that the required financial resources for implementing a Change are approved by Financial Management.

"
"c5f889f7","BusinessObject","Change Proposal  ","A Change Proposal describes a proposed major Change, like the introduction of a new service or a substantial change to an existing service. The purpose of Change Proposals is to communicate a proposed major Change and assess its risk, impact and feasibility before design activities begin. Change Proposals are typically created in Service Portfolio Management.
"
"6e424f1c","BusinessObject","Cost Data for Service Provisioning  ","The cost for providing a service, calculated by Financial Management as a basis for calculating the price a customer is expected to pay for a service.
"
"5fa46d99","BusinessObject","Financial Analysis  ","The Financial Analysis is an important input to the Portfolio Management process. It contains information on the costs for providing services and provides insight into the profitability of services and customers (see also: ITIL Checklist Financial Analysis).
"
"844d3c5c","BusinessObject","Financial Data Categories  ","Various categories are used to structure financial data, as a means to gain insight into the underlying costs of service provisioning and service profitability.
"
"9646d6e8","BusinessObject","Incident Ticket/Request","/*struct TaskRecord {
  bytes32 sys_id;
  address requester;
  string created_on;*/
  /*Priorities taskPriority;
   States taskState;
  int taskType;
  int timeWorked;
  address assigned_to;
  bool active;
  address updated_by;
  //DateTime created_on;
  DateTime updated_on;
  DateTime closed_on;
 }"
"9404db4b","BusinessObject","Invoice  ","The invoice for the delivery of a service or product.
"
"fcbad65f","BusinessObject","IT Budget  ","The IT Budget is an annual financial plan that provides a forecast of expected expenditures and allocates financial resources to the various service management processes and organizational units within the IT organization.
"
"bbd4d740","BusinessObject","Service Charter  ","The Service Charter is a high-level description of a new or substantially changed service and the approach to build that service. In particular, the Service Charter outlines the deliverables to be created during the service implementation project, the required resources, and an initial project schedule. Service Charters are passed to Service Design to initiate the detailed design of the new or changed service. (Note: New output in ITIL 2011.)
"
"27669129","BusinessObject","Service Model  ","A Service Model is a high-level description of a service and the components required to deliver that service. The main purpose of Service Models is to facilitate an understanding of what service components, assets and other resources are necessary to create the service, including their interactions. Service Models are a valuable tool for understanding the impact of proposed new or changed services on other services at an early stage. (Note: New output in ITIL 2011.)
"
