Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Comment,Comment,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3113245,Architecture work,architecture work,,,,epic,,,"Oct 31, 2016",,,,all architecture related tasks,https://www.pivotaltracker.com/epic/show/3113245,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113243,Infrastructure setup,infrastructure setup,,,,epic,,,"Oct 31, 2016",,,,All infrastructure related tasks,https://www.pivotaltracker.com/epic/show/3113243,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113241,Project management,project management,,,,epic,,,"Oct 31, 2016",,,,,https://www.pivotaltracker.com/epic/show/3113241,,"project planning, roadmap, govenrance (Fekra Technology Consulting FCSAG01 - Oct 31, 2016)",,,,,,,,,,,,,,,,,,,,,,,,,
3113039,Setup and integrate ServiceNow demo instances for req and ful,setup and integrate servicenow demo instances for req and ful,,,,epic,,,"Oct 31, 2016",,,,Setup and integrate ServiceNow demo instances for requestor and fulfiller,https://www.pivotaltracker.com/epic/show/3113039,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112919,SN-ETH Integration,sn-eth integration,,,,epic,,,"Oct 31, 2016",,,,Integrating ServiceNow platform with Ethereum network,https://www.pivotaltracker.com/epic/show/3112919,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112917,Costing Model,costing model,,,,epic,,,"Oct 31, 2016",,,,ServiceNow Costing model that defines the payments rules,https://www.pivotaltracker.com/epic/show/3112917,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112915,ServiceNow Development,servicenow development,,,,epic,,,"Oct 31, 2016",,,,SN application that interfaces with the Smart Contract in the blockchain,https://www.pivotaltracker.com/epic/show/3112915,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112909,Smart Contract development,smart contract development,,,,epic,,,"Oct 31, 2016",,,,solidity smart contract to handle events and clear transactions,https://www.pivotaltracker.com/epic/show/3112909,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112285,Accounts Management,wallet,,,,epic,,,"Oct 30, 2016",,,,"account, addresses, keys, and wallets in servicenow
",https://www.pivotaltracker.com/epic/show/3112285,,,,,,,,,,,,,,,,,,,,,,,,,,,
133799361,GitHub Repo,infrastructure setup,1,"Oct 31, 2016","Nov 6, 2016",feature,0,accepted,"Nov 5, 2016","Nov 5, 2016",,Fekra Technology Consulting FCSAG01,setup githup repos and sync with ServiceNow and Source dir in google drive,https://www.pivotaltracker.com/story/show/133799361,Fekra Technology Consulting FCSAG01,"https://github.com/amgadma/PayNow0.git (Fekra Technology Consulting FCSAG01 - Nov 5, 2016)","https://github.com/amgadma/SmartSLA0.git (Fekra Technology Consulting FCSAG01 - Nov 5, 2016)"
133798647,Project description,architecture work,2,"Nov 7, 2016","Nov 13, 2016",feature,1,accepted,"Nov 5, 2016","Nov 7, 2016",,Fekra Technology Consulting FCSAG01,root artifact,https://www.pivotaltracker.com/story/show/133798647,Fekra Technology Consulting FCSAG01,"Smart IT Service Level Contracts  
13 Oct 20:11

Problem: 
Enforcing IT Service Level Agreements (SLAs) between Managed Service Providers (MSPs) and their consumers is challenging using current industry practices and technology. IT Financial Management is currently focused, or rather limited to retroactive cost analysis, shadow charging and accounting for Providers' periodical billing.

Solution Abstract: 
Use Smart Contracts to implement Service Level Agreements between MSPs and their consumers. Each Service Request from the Consumer to the MSP is recorded by the Contract, governed by the terms and conditions of the Service Agreement, in addition to the specific SLA targets based on the Request. 

The Contract can be used to govern and settle transactions between the two parties based on real time State updates of the request, where the Consumer can only pay the provider for Service Requests fulfilled within the SLA targets, or pay per each transaction based on the exact Service Level from the Provider.This model also allows for 3rda parties to participate in the Contract as Arbitrators.
 (Fekra Technology Consulting FCSAG01 - Nov 5, 2016)"
133566097,Create new incident in the contract,smart contract development,2,"Nov 7, 2016","Nov 13, 2016",feature,3,delivered,"Nov 1, 2016",,,Fekra Technology Consulting FCSAG01,"1- create a map of incidents in the contract
2- a function that should create a new incident ",https://www.pivotaltracker.com/story/show/133566097,Fekra Technology Consulting FCSAG01," (Fekra Technology Consulting FCSAG01 - Nov 5, 2016)","tests work for creating and reading incident states, dropped use of enums for now (Amgad Abdelhafez - Nov 7, 2016)","5ef8a3f (Amgad Abdelhafez - Nov 7, 2016)","ready for test
https://github.com/amgadma/SmartSLA0/blob/master/test/paynowalpha.js
who wants to have a look?
 @ahmedashmawy1  @amirmansour  (Amgad Abdelhafez - Nov 8, 2016)",it should have a data structure based on specs,completed,it should create a new incident,completed,it should update incident ,completed,it should read incident,completed
133799107,Data Model - Incident,architecture work,2,"Nov 7, 2016","Nov 13, 2016",feature,8,finished,"Nov 5, 2016",,,Fekra Technology Consulting FCSAG01,"define incident Data Arch
define data structure
Enums:
1-Priority
2-State

Member functions:
1- createIncident()
2- readIncident()
3- updateIncident()
4- deleteIncident()

Events:
1- incidentCreated()
2- incidentUpdated()
3- incidentDeleted()",https://www.pivotaltracker.com/story/show/133799107,Amgad Abdelhafez," (Fekra Technology Consulting FCSAG01 - Nov 5, 2016)",,,,http://wiki.servicenow.com/index.php?title=Planned_Task#gsc.tab=0,not completed
133408335,users' wallets,"balance, smart contract development, user, wallet",2,"Nov 7, 2016","Nov 13, 2016",feature,3,started,"Oct 30, 2016",,,Fekra Technology Consulting FCSAG01,"as a user, i want to have a wallet (account address and private key) associated with my ServiceNow account, I want to see my available balance",https://www.pivotaltracker.com/story/show/133408335,Amgad Abdelhafez,,,,,new table for user wallet,not completed,it should have user address,not completed,it should have user address password,not completed,it should show user balance,not completed
133921167,MVP Use Cases,"architecture work, requirements, usecase",2,"Nov 7, 2016","Nov 13, 2016",feature,2,finished,"Nov 8, 2016",,,Amgad Abdelhafez,Minimum Viable Product Use Cases,https://www.pivotaltracker.com/story/show/133921167,Amgad Abdelhafez,,,,,"Party 1 opens new incident, and select priority",not completed,"Party 2 starts working in the incident, by changing state from open to wip",not completed,"Party 1 bonds a deposit with the new incident, estimate based on priority and agreed SLA",not completed,"Party 2 resolves the incident, and gets paid, based on resolution time and agreed SLA",not completed,"Party 2 will either get paid in full, get fractional payment, get 0, or pay fractional penalty",not completed
133448341,Port web3 js library in ServiceNow,sn-eth integration,4,"Nov 21, 2016","Nov 27, 2016",feature,8,unstarted,"Oct 31, 2016",,,Fekra Technology Consulting FCSAG01,"Port web3 to SN, if not gonna use pure web services ",https://www.pivotaltracker.com/story/show/133448341,Amgad Abdelhafez,,,,,add web3.js as a script include in SN,not completed,add Bignumbers.js as a script include in SN,not completed,resolve conflicts in script includes,not completed,it should call web3.eth.accounts[0] from a servicenow script,not completed
133920869,incident pricing ,"costing model, pricing",4,"Nov 21, 2016","Nov 27, 2016",feature,2,unstarted,"Nov 8, 2016",,,Amgad Abdelhafez,it should lookup incident pricing from a list in the contract populated in contract initialization (terms and conditions,https://www.pivotaltracker.com/story/show/133920869,Amgad Abdelhafez
133448159,Architecture artifacts,architecture work,6,"Dec 5, 2016","Dec 11, 2016",feature,8,unstarted,"Oct 31, 2016",,,Fekra Technology Consulting FCSAG01,Required Architecture artifacts according to TOGAF ,https://www.pivotaltracker.com/story/show/133448159,Fekra Technology Consulting FCSAG01,,,,,Arch Vision,not completed,Business Arch,not completed,App Arch,not completed,Migration planning,not completed,"Implementation
planning",not completed,Opps & Solutions,not completed,Tech Arch,not completed,Change management,not completed
