ID,Type,Name,Documentation
,BusinessActor,Business Relationship Manager,"The Business Relationship Manager is responsible for maintaining a positive relationship with customers, identifying customer needs and ensuring that the service provider is able to meet these needs with an appropriate catalogue of services., The Business Relationship Manager works closely with the Service Level Manager., The Business Relationship Manager has been introduced as a new role in ITIL 2011."
,BusinessActor,Demand Manager,"The role Demand Manager has been introduced in ITIL 2011 to perform the activities in the Demand Management process., The Demand Manager is responsible for understanding, anticipating and influencing customer demand for services., The Demand Manager works with capacity management to ensure that the service provider has sufficient capacity to meet the required demand."
,BusinessActor,Financial Manager,"The Financial Manager is responsible for managing an IT service provider's budgeting, accounting and charging requirements."
,BusinessActor,IT Steering Group (ISG),"The IT Steering Group (ISG) sets the direction and strategy for IT Services. It includes members of senior management from business and IT., The ISG reviews the business and IT strategies in order to make sure that they are aligned., It also sets priorities of service development programs/ projects."
,BusinessActor,Service Portfolio Manager,"The Service Portfolio Manager decides on a strategy to serve customers in cooperation with the IT Steering Group, and develops the service provider's offerings and capabilities."
,BusinessActor,Service Strategy Manager,"The Service Strategy Manager supports the IT Steering Group in producing and maintaining the service provider's strategy., This role is also responsible for communicating and implementing the service strategy., The Service Strategy Manager has been introduced as a new role in ITIL 2011."
,BusinessActor,Applications Analyst,"The Applications Analyst is an Application Management role which manages applications throughout their lifecycle., There is typically one Applications Analyst or team of analysts for every key application., This role plays an important part in the application-related aspects of designing, testing, operating and improving IT services., It is also responsible for developing the skills required to operate the applications required to deliver IT services."
,BusinessActor,Availability Manager,"The Availability Manager is responsible for defining, analyzing, planning, measuring and improving all aspects of the availability of IT services., He is responsible for ensuring that all IT infrastructure, processes, tools, roles etc. are appropriate for the agreed service level targets for availability."
,BusinessActor,Capacity Manager,"The Capacity Manager is responsible for ensuring that services and infrastructure are able to deliver the agreed capacity and performance targets in a cost effective and timely manner., He considers all resources required to deliver the service, and plans for short, medium and long term business requirements."
,BusinessActor,Compliance Manager,"The Compliance Manager's responsibility is to ensure that standards and guidelines is followed, or that proper, consistent accounting or other practices are being employed., This includes to make sure that external legal requirements are fulfilled."
,BusinessActor,Enterprise Architect,"The Enterprise Architect is responsible for maintaining the Enterprise Architecture (EA), a description of the essential components of a business, including their interrelationships., Bigger organizations may opt to introduce specialist EA roles like Business Architect, Application Architect, Information Architect, or Infrastructure Architect."
,BusinessActor,Information Security Manager,"The Information Security Manager is responsible for ensuring the confidentiality, integrity and availability of an organization’s assets, information, data and IT services., He is usually involved in an organizational approach to Security Management which has a wider scope than the IT service provider, and includes handling of paper, building access, phone calls etc., for the entire organization."
,BusinessActor,IT Service Continuity Manager,"The IT Service Continuity Manager is responsible for managing risks that could seriously impact IT services., He ensures that the IT service provider can provide minimum agreed service levels in cases of disaster, by reducing the risk to an acceptable level and planning for the recovery of IT services."
,BusinessActor,Risk Manager,"The Risk Manager is responsible for identifying, assessing and controlling risks., This includes analyzing the value of assets to the business, identifying threats to those assets, and evaluating how vulnerable each asset is to those threats."
,BusinessActor,Service Catalogue Manager,"The Service Catalogue Manager is responsible for maintaining the Service Catalogue, ensuring that all information within the Service Catalogue is accurate and up-to-date."
,BusinessActor,Service Design Manager,"The Service Design Manager is responsible for producing quality, secure and resilient designs for new or improved services., This includes producing and maintaining all design documentation."
,BusinessActor,Service Level Manager,"The Service Level Manager is responsible for negotiating Service Level Agreements and ensuring that these are met., He makes sure that all IT Service Management processes, Operational Level Agreements and Underpinning Contracts are appropriate for the agreed service level targets., The Service Level Manager also monitors and reports on service levels."
